,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type,Date Collected,UUID
0,1.52213,0.0,3.82,0.47,71.77,0.11,,0.0,0.0,1,04/08/06,115b4d
1,1.51994,13.27,0.0,0.0,,0.47,0.0,0.0,0.0,5,06/03/06,c03fd8
2,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2,05/01/92,c8f697
3,1.51831,14.39,0.0,1.82,72.86,1.41,0.0,2.88,0.0,7,23/06/08,a821c4
4,1.52667,0.0,0.0,0.71,71.57,0.02,0.0,0.0,0.0,1,07/03/06,f5d41d
5,,14.32,3.26,2.22,0.0,0.0,5.79,1.63,,7,05/05/98,124421
6,0.0,12.61,3.59,1.31,73.29,0.58,,,0.0,1,06/02/16,a02369
7,1.51646,13.04,3.4,1.26,73.01,0.0,8.58,0.0,0.0,3,18/05/92,12f08b
8,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1,02/06/14,10923c
9,1.51796,13.5,3.36,1.63,0.0,0.57,,0.0,0.09,3,19/07/88,fa803d
10,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7,22/04/01,e5b72a
11,,,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1,27/12/07,ea740b
12,0.0,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2,25/08/07,11aecd
13,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3,15/12/04,f674fa
14,1.51783,12.69,,1.34,72.95,0.0,,0.0,0.0,1,17/08/11,c8da07
15,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,2,22/03/94,ec0822
16,1.51708,13.72,0.0,0.0,72.06,0.64,7.88,0.0,0.0,2,23/11/93,118af5
17,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7,12/06/96,bef95a
18,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,,0.0,1,01/09/03,da125c
19,0.0,,0.0,3.04,70.48,,0.0,0.0,0.0,5,11/06/89,cf3bbe
20,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7,25/01/10,ba2afc
21,1.51748,12.86,3.56,1.27,0.0,0.54,0.0,0.0,,1,22/06/00,d09542
22,0.0,0.0,,1.51,73.12,0.69,7.96,0.0,0.0,2,05/02/13,f5cfae
23,1.51685,,0.0,1.99,73.06,0.0,0.0,1.59,0.0,7,20/01/05,f1efa2
24,1.51977,,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1,21/07/94,10038d
25,1.51839,12.85,3.67,1.24,72.57,,8.68,0.0,0.35,2,01/01/89,f68bf9
26,1.51937,13.79,0.0,1.19,72.76,0.0,9.77,0.0,0.0,6,21/10/09,12c519
27,1.51775,12.85,,1.23,0.0,0.61,0.0,0.09,0.22,1,04/11/06,9b7eb9
28,1.52211,14.19,3.78,0.91,71.36,0.23,,0.0,0.0,3,21/10/07,c1fb72
29,0.0,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2,19/07/99,129e8e
30,,,1.01,1.36,,0.33,,0.0,0.0,2,05/11/02,d98626
31,,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1,08/01/95,a48132
32,1.52101,13.64,0.0,1.1,71.78,0.06,8.75,0.0,0.0,1,11/03/92,c32ec1
33,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7,25/12/15,d210fe
34,1.5161,13.33,3.53,,,0.56,8.33,0.0,0.0,3,13/05/01,da3fad
35,1.52121,14.03,,0.58,71.79,0.11,9.65,0.0,0.0,3,05/11/05,f9b8d6
36,1.51569,13.24,0.0,1.47,73.25,0.38,8.03,0.0,0.0,2,15/02/02,10db44
37,1.51905,0.0,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1,15/06/94,e3d039
38,1.51892,13.46,3.83,0.0,,0.57,8.21,0.0,0.14,2,17/11/01,102fa7
39,1.51593,0.0,3.45,1.43,73.17,0.61,,0.0,0.0,2,04/10/94,a23ff4
40,1.5164,12.55,0.0,1.87,73.23,0.63,8.08,0.0,0.09,2,25/07/06,10f1fa
41,0.0,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1,02/11/13,a8244e
42,,12.93,,1.56,,0.58,8.55,0.0,0.12,2,24/07/13,f85836
43,0.0,,,1.41,72.33,0.0,8.31,0.0,0.1,2,24/09/13,b29c7d
44,1.51674,12.87,0.0,0.0,73.14,0.65,7.99,,0.0,2,23/02/95,120dbf
45,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,,1,03/11/93,d8a63a
46,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,,0.19,1,06/10/16,fcf532
47,,0.0,0.0,0.0,75.18,2.7,8.93,0.0,0.0,7,21/04/03,f77576
48,1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2,08/01/12,12fd61
49,0.0,0.0,3.98,1.18,72.49,0.58,8.15,,0.0,2,08/12/14,e88d5a
50,1.52196,14.36,,0.0,71.36,0.15,9.15,0.0,0.0,1,01/04/16,f9699e
51,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2,03/10/17,106cd6
52,1.51299,0.0,1.74,0.0,74.55,0.0,7.59,0.0,0.0,6,24/10/93,9bd8e2
53,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6,04/03/00,cbff0d
54,1.52172,13.51,,0.88,71.79,,9.54,0.0,0.11,1,04/06/16,130884
55,1.51683,14.56,0.0,1.98,73.29,0.0,0.0,1.57,,7,23/03/96,ebe373
56,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,,0.0,2,13/10/13,a284ff
57,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,,0.0,1,20/06/09,11585c
58,1.5159,12.82,3.52,,72.86,0.69,7.97,0.0,,2,05/02/12,ad2f5a
59,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1,10/10/09,12e39f
60,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.0,7,20/02/08,f24def
61,1.51776,13.53,,1.52,72.04,0.58,8.79,0.0,0.0,3,08/04/17,e9d7b7
62,1.51589,12.88,,0.0,73.28,0.0,8.05,0.0,0.24,1,28/05/12,e059d8
63,1.51966,14.77,3.75,0.29,72.02,0.0,9.0,0.0,0.0,1,08/07/94,a48e46
64,0.0,12.89,3.62,1.57,72.96,0.61,,0.0,0.0,2,17/11/97,9e3a55
65,1.51321,13.0,,3.02,70.7,6.21,0.0,0.0,0.0,5,22/10/90,120f67
66,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2,04/06/08,1052bc
67,1.52127,14.32,3.9,,71.5,0.0,9.49,0.0,0.0,3,07/02/10,dd38fe
68,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,,0.11,1,15/03/00,127a80
